incident_index,IPP_lat,IPP_lon,find_lat,find_lon,straight_line_distance_m,source_file,row_kind
1,31.39708335,-111.20643,31.406333,-111.19683,1374.0430256292645,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
2,31.42903334,-110.29328,31.429517,-110.30412,1029.9155576335904,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
3,31.50571667,-110.67622,31.51,-110.65333,2221.6586917828117,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
4,31.72261664,-110.18783,31.741767,-110.19178,2161.9445809991244,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
5,31.83521665,-110.3567,31.862267,-110.39655,4818.183547999604,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
6,31.90240002,-109.27847,31.8395,-109.27667,6996.237893843667,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
7,31.92245,-109.96732,31.921483,-110.03358,6254.472829262292,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
8,32.01236667,-109.31572,31.99935,-109.3078,1628.6942514886853,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
9,32.33333333,-110.85283,32.3715,-110.86467,4387.258014905335,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
10,32.33583333,-110.91017,32.3665,-110.88017,4423.746536346024,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
11,32.33699999,-110.91667,32.359833,-110.89767,3103.5051904567163,lost_hikers_2022/41598_2022_9502_MOESM3_ESM.csv,REAL_INCIDENT_ENDPOINTS
