search_type,team_id,searcher_id,track_id,time_s,time_sec,latitude,longitude,elevation_m
hasty,1,1,hasty_T01_S01,00:00:00,0,36.8636644632,-80.5881340988,544
hasty,1,1,hasty_T01_S01,00:00:35,35,36.8636601884,-80.5881454982,544
hasty,1,1,hasty_T01_S01,00:01:45,105,36.8636639602,-80.5881411396,544
hasty,1,1,hasty_T01_S01,00:02:23,143,36.8636642955,-80.5881290697,544
hasty,1,1,hasty_T01_S01,00:03:57,237,36.863665469,-80.5881336797,544
hasty,1,1,hasty_T01_S01,00:04:41,281,36.8636737671,-80.588126136,544
hasty,1,1,hasty_T01_S01,00:06:42,402,36.863683071,-80.5881232861,544
hasty,1,1,hasty_T01_S01,00:07:24,444,36.8636996672,-80.5881501921,544
hasty,1,1,hasty_T01_S01,00:07:56,476,36.863673348,-80.588133093,544
hasty,1,1,hasty_T01_S01,00:08:10,490,36.8636709172,-80.5881313328,544
hasty,1,1,hasty_T01_S01,00:08:33,513,36.8636629544,-80.5881227832,544
hasty,1,1,hasty_T01_S01,00:08:53,533,36.8636650499,-80.5881389603,544
hasty,1,1,hasty_T01_S01,00:08:59,539,36.8636206258,-80.5881167483,544
hasty,1,1,hasty_T01_S01,00:09:15,555,36.8635409977,-80.588003844,544
hasty,1,1,hasty_T01_S01,00:09:35,575,36.8635379802,-80.5879911873,544
hasty,1,1,hasty_T01_S01,00:09:56,596,36.8635736872,-80.5879775248,544
hasty,1,1,hasty_T01_S01,00:10:04,604,36.8635689933,-80.5879349448,544
hasty,1,1,hasty_T01_S01,00:10:07,607,36.8635516427,-80.587912146,544
hasty,1,1,hasty_T01_S01,00:10:10,610,36.8635229766,-80.587895466,544
hasty,1,1,hasty_T01_S01,00:10:26,626,36.8634493835,-80.5879007466,544
hasty,1,1,hasty_T01_S01,00:10:29,629,36.8634746131,-80.5878865812,544
hasty,1,1,hasty_T01_S01,00:10:35,635,36.8635377288,-80.5879228748,543
hasty,1,1,hasty_T01_S01,00:10:52,652,36.8635298498,-80.5880889203,543
hasty,1,1,hasty_T01_S01,00:11:04,664,36.8635357171,-80.5881262198,542
hasty,1,1,hasty_T01_S01,00:11:19,679,36.8635550793,-80.5882735737,543
hasty,1,1,hasty_T01_S01,00:11:40,700,36.8635335378,-80.5884875637,544
hasty,1,1,hasty_T01_S01,00:11:42,702,36.8635233957,-80.5885132961,544
hasty,1,1,hasty_T01_S01,00:11:51,711,36.8634998426,-80.5885696225,544
hasty,1,1,hasty_T01_S01,00:11:53,713,36.8634987529,-80.5885930918,544
hasty,1,1,hasty_T01_S01,00:12:10,730,36.8634920474,-80.5887877196,544
hasty,1,1,hasty_T01_S01,00:12:23,743,36.8634218909,-80.5887534376,544
hasty,1,1,hasty_T01_S01,00:12:27,747,36.8634517305,-80.5888008792,544
hasty,1,1,hasty_T01_S01,00:12:42,762,36.8634863477,-80.5888870452,544
hasty,1,1,hasty_T01_S01,00:12:59,779,36.8634098209,-80.5888833571,543
hasty,1,1,hasty_T01_S01,00:13:11,791,36.8633796461,-80.5888841115,543
hasty,1,1,hasty_T01_S01,00:13:29,809,36.8631890416,-80.5888627376,542
hasty,1,1,hasty_T01_S01,00:13:44,824,36.8630613852,-80.5888319761,539
hasty,1,1,hasty_T01_S01,00:14:01,841,36.863062894,-80.5888358317,537
hasty,1,1,hasty_T01_S01,00:14:43,883,36.8630415201,-80.5888442136,537
hasty,1,1,hasty_T01_S01,00:15:11,911,36.8630624749,-80.5888381787,538
hasty,1,1,hasty_T01_S01,00:15:31,931,36.8630784843,-80.5888415314,538
hasty,1,1,hasty_T01_S01,00:15:52,952,36.8630752992,-80.5888494104,538
hasty,1,1,hasty_T01_S01,00:16:18,978,36.8630741257,-80.5888567865,538
hasty,1,1,hasty_T01_S01,00:16:37,997,36.8630778138,-80.5888509192,539
hasty,1,1,hasty_T01_S01,00:16:53,1013,36.8630899675,-80.5888536014,539
hasty,1,1,hasty_T01_S01,00:16:59,1019,36.8630970083,-80.5888619833,539
hasty,1,1,hasty_T01_S01,00:17:02,1022,36.8631265964,-80.5888857879,539
hasty,1,1,hasty_T01_S01,00:17:15,1035,36.8632540014,-80.5889726244,541
hasty,1,1,hasty_T01_S01,00:17:26,1046,36.8633789755,-80.5890400987,541
hasty,1,1,hasty_T01_S01,00:17:39,1059,36.8634793907,-80.5891571939,542
hasty,1,1,hasty_T01_S01,00:17:55,1075,36.8634993397,-80.5893376563,543
hasty,1,1,hasty_T01_S01,00:18:08,1088,36.8635247368,-80.5894016102,544
hasty,1,1,hasty_T01_S01,00:18:20,1100,36.8635525648,-80.5894134287,544
hasty,1,1,hasty_T01_S01,00:18:33,1113,36.8635653891,-80.5894792266,544
hasty,1,1,hasty_T01_S01,00:18:47,1127,36.86358626,-80.5895358883,544
hasty,1,1,hasty_T01_S01,00:19:01,1141,36.8636048678,-80.589575367,545
hasty,1,1,hasty_T01_S01,00:19:12,1152,36.8636375573,-80.5896756146,545
hasty,1,1,hasty_T01_S01,00:19:28,1168,36.8636817299,-80.5897900276,546
hasty,1,1,hasty_T01_S01,00:19:42,1182,36.8637290038,-80.5897772871,546
hasty,1,1,hasty_T01_S01,00:19:55,1195,36.8637045287,-80.5898211244,546
hasty,1,1,hasty_T01_S01,00:20:07,1207,36.8636978231,-80.5898508802,546
hasty,1,1,hasty_T01_S01,00:20:37,1237,36.8637072109,-80.5899062846,546
hasty,1,1,hasty_T01_S01,00:20:53,1253,36.863759011,-80.5899805482,546
hasty,1,1,hasty_T01_S01,00:21:07,1267,36.863818774,-80.5900702346,547
hasty,1,1,hasty_T01_S01,00:21:24,1284,36.8638943788,-80.5901646987,547
hasty,1,1,hasty_T01_S01,00:21:36,1296,36.8639502861,-80.5902071949,547
hasty,1,1,hasty_T01_S01,00:21:53,1313,36.8640543055,-80.5903055985,545
hasty,1,1,hasty_T01_S01,00:22:10,1330,36.86416151,-80.5903855618,544
hasty,1,1,hasty_T01_S01,00:22:19,1339,36.8641910981,-80.5904018227,544
hasty,1,1,hasty_T01_S01,00:22:21,1341,36.8642128911,-80.5903903395,544
hasty,1,1,hasty_T01_S01,00:22:31,1351,36.8642346002,-80.5903020781,544
hasty,1,1,hasty_T01_S01,00:22:38,1358,36.8642815389,-80.5902444944,544
hasty,1,1,hasty_T01_S01,00:22:47,1367,36.8643725663,-80.5902700592,544
hasty,1,1,hasty_T01_S01,00:22:50,1370,36.864395868,-80.5902990606,544
hasty,1,1,hasty_T01_S01,00:22:53,1373,36.8643925153,-80.5903285649,544
hasty,1,1,hasty_T01_S01,00:23:09,1389,36.8643281423,-80.5903290678,544
hasty,1,1,hasty_T01_S01,00:23:31,1411,36.8643264659,-80.5904249568,544
hasty,1,1,hasty_T01_S01,00:23:45,1425,36.8642895855,-80.590498466,544
hasty,1,1,hasty_T01_S01,00:24:02,1442,36.8643590715,-80.5906269606,544
hasty,1,1,hasty_T01_S01,00:24:16,1456,36.8644412979,-80.5907290522,543
hasty,1,1,hasty_T01_S01,00:24:28,1468,36.864428306,-80.5907593947,543
hasty,1,1,hasty_T01_S01,00:24:47,1487,36.8644872308,-80.5908306409,543
hasty,1,1,hasty_T01_S01,00:25:01,1501,36.8645134661,-80.5908874702,543
hasty,1,1,hasty_T01_S01,00:25:18,1518,36.8645623326,-80.590986209,543
hasty,1,1,hasty_T01_S01,00:25:38,1538,36.8645598181,-80.5910634063,543
hasty,1,1,hasty_T01_S01,00:25:41,1541,36.8645587284,-80.5910622329,543
hasty,1,1,hasty_T01_S01,00:25:53,1553,36.8645741511,-80.5910209101,543
hasty,1,1,hasty_T01_S01,00:26:09,1569,36.8646420445,-80.5911048967,543
hasty,1,1,hasty_T01_S01,00:26:23,1583,36.8646843731,-80.5911753885,542
hasty,1,1,hasty_T01_S01,00:26:40,1600,36.8647670187,-80.5913204793,541
hasty,1,1,hasty_T01_S01,00:26:49,1609,36.8647940084,-80.5913871154,540
hasty,1,1,hasty_T01_S01,00:26:52,1612,36.8648218364,-80.5914001074,540
hasty,1,1,hasty_T01_S01,00:26:56,1616,36.8648444675,-80.5914456211,540
hasty,1,1,hasty_T01_S01,00:27:18,1638,36.8649312202,-80.5916618742,540
hasty,1,1,hasty_T01_S01,00:27:33,1653,36.8649841938,-80.5918139219,540
hasty,1,1,hasty_T01_S01,00:27:43,1663,36.8649826851,-80.5918676499,540
hasty,1,1,hasty_T01_S01,00:27:47,1667,36.8649932463,-80.591897238,540
hasty,1,1,hasty_T01_S01,00:28:00,1680,36.865019314,-80.5919695739,541
hasty,1,1,hasty_T01_S01,00:28:18,1698,36.864998024,-80.5919784587,541
